,Energia Consumida,Temperatura,Humedad
2024-12-15,117.38,22.219,53.577
2024-12-16,171.76,24.841,26.577
2024-12-17,197.45,22.065,43.505
2024-12-18,208.88,19.808,54.765
2024-12-19,197.65,19.468,59.611
2024-12-20,171.26,19.905,70.491
2024-12-21,127.96,19.482,67.054
2024-12-22,110.29,18.678,60.644
2024-12-23,157.46,18.935,68.384
2024-12-24,151.04,20.146,57.286
2024-12-25,155.28,20.467,59.127
2024-12-26,177.48,19.222,70.821
2024-12-27,163.73,18.8,70.509
2024-12-28,136.4,19.817,63.528
2024-12-29,111.97,19.278,69.048
2024-12-30,145.13,18.613,64.812
2024-12-31,112.31,18.397,63.389
