timestamp,voltaje_L1,voltaje_L2,voltaje_L3,voltaje_LNAvg,intensidad_L1,intensidad_L2,intensidad_L3,intensidad_Avg_total,intensidad_neutral,pf_L1,pf_L2,pf_L3,pf_total,frecuencia,s_L1,s_L2,s_L3,s_total,q_L1,q_L2,q_L3,q_total,p_L1,p_L2,p_L3,p_total,app_en_total,act_en_total,react_en_total,react_en_inflow,react_en_outflow,act_en_inflow,act_en_outlow
2025-05-21 22:00:00,236.93745977228338,237.42575073242188,236.6731844815341,237.01213212446734,0.0,0.0,1.2510108947753906,0.4170036261731928,1.2528638189489192,0.0,0.0,0.3138480945066972,0.3138480945066972,49.99926202947443,0.0,0.0,0.2956803115931424,0.2956803115931424,0.0,0.0,0.14813666045665738,0.14813666045665738,0.0,0.0,0.25510885227810254,0.25510885227810254,484.91236738725144,422.47550825639206,164.89262667569247,182.97945750843394,18.086820602416992,0.0,0.0
2025-05-21 23:00:00,236.74548772176107,237.14687461853026,236.6186429341634,236.83700154622395,0.0,0.0,1.1241497198740642,0.37471657395362856,1.1262455721696218,0.0,0.0,0.4024047960837682,0.4024047960837682,49.993237018585205,0.0,0.0,0.26569592133164405,0.26569592133164405,0.0,0.0,0.13367534913122653,0.13367534913122653,0.0,0.0,0.22877279768387476,0.22877279768387476,485.1008689880371,422.6375862121582,164.98730023701987,183.0741221110026,18.086821921666463,0.0,0.0
2025-05-22 16:00:00,235.35543046174226,234.2131699456109,235.0403746145743,234.8696578696922,0.0,0.0,1.5957333125449993,0.5319111054694211,1.598445267589004,0.0,0.0,0.5563053632224048,0.5563053632224048,50.009472599735965,0.0,0.0,0.366943609935266,0.366943609935266,0.0,0.0,0.1782307584804517,0.1782307584804517,0.0,0.0,0.31856424306277875,0.31856424306277875,494.9245981287073,431.36059231228296,167.25332500316478,185.8974767614294,18.64414405822754,0.0,0.0
2025-05-22 17:00:00,234.86346193949382,234.01279055277507,235.1540470123291,234.6767655690511,0.0,0.0,1.3611241598924002,0.453708054125309,1.3690123031536738,0.0,0.0,0.50600762317578,0.50600762317578,50.001538848876955,0.0,0.0,0.3236136029163996,0.3236136029163996,0.0,0.0,0.15426061650117234,0.15426061650117234,0.0,0.0,0.27937116995453837,0.27937116995453837,495.2510037740072,431.64398701985675,167.41236877441406,186.05651715596517,18.644145488739014,0.0,0.0
2025-05-22 18:00:00,234.75398915608724,233.59835891723634,234.92731793721518,234.4265537261963,0.0,0.0,1.479980426033338,0.4933268097539743,1.484919281800588,0.0,0.0,0.49884277234474816,0.49884277234474816,50.004276784261066,0.0,0.0,0.3480162071684996,0.3480162071684996,0.0,0.0,0.17192619902392225,0.17192619902392225,0.0,0.0,0.30139676506320634,0.30139676506320634,495.5669906616211,431.91789932250975,167.56715151468913,186.2113021850586,18.64414825439453,0.0,0.0
2025-05-22 19:00:00,234.18934644063313,233.95468559265137,234.77390950520834,234.30597915649415,0.0,0.0,1.1451080421606699,0.38170267989238105,1.1479802161455155,0.0,0.0,0.4300171678264936,0.4300171678264936,49.991076946258545,0.0,0.0,0.2691153759757678,0.2691153759757678,0.0,0.0,0.12939922933777173,0.12939922933777173,0.0,0.0,0.23511610726515453,0.23511610726515453,495.89033864339194,432.198380279541,167.72501029968262,186.3691640218099,18.64415241877238,0.0,0.0
2025-05-22 20:00:00,232.99191881815594,233.51879145304363,233.81777025858563,233.44282697041828,0.0,0.0,1.4568150798479715,0.48560502330462135,1.4616018037001293,0.0,0.0,0.5120057870944341,0.5120057870944341,49.984171326955156,0.0,0.0,0.3405545053382715,0.3405545053382715,0.0,0.0,0.1697361547499895,0.1697361547499895,0.0,0.0,0.29423506235082947,0.29423506235082947,496.2189137776693,432.48303476969403,167.8861873626709,186.53034540812175,18.64415470759074,0.0,0.0
2025-05-22 21:00:00,234.99067446390788,235.86444307963055,236.30959027608236,235.72156969706217,0.0,0.0,1.415245399872462,0.47174846678972243,1.418256879846255,0.0,0.0,0.4981543138623238,0.4981543138623238,50.00222686131795,0.0,0.0,0.3342910965283712,0.3342910965283712,0.0,0.0,0.16647949020067848,0.16647949020067848,0.0,0.0,0.28874108344316485,0.28874108344316485,496.531974029541,432.7536066691081,168.04093475341796,186.68509483337402,18.644156614939373,0.0,0.0
2025-05-22 22:00:00,234.7586617787679,234.90003496805826,234.95461680094402,234.8711046854655,0.0,0.0,1.4211047351360322,0.4737015788753827,1.424796994527181,0.0,0.0,0.5055390323201815,0.5055390323201815,50.00739781061808,0.0,0.0,0.3337405761082967,0.3337405761082967,0.0,0.0,0.16574754789471624,0.16574754789471624,0.0,0.0,0.28863125095764797,0.28863125095764797,496.87634633382163,433.05074208577474,168.21194458007812,186.85610707600912,18.644158951441447,0.0,0.0
2025-05-22 23:00:00,236.22661794026692,236.6092664082845,236.71465199788412,236.51684481302897,0.0,0.0,1.3205801844596863,0.4401933953166008,1.3253384371598562,0.0,0.0,0.46022237539291383,0.46022237539291383,50.013243929545084,0.0,0.0,0.3125983774662018,0.3125983774662018,0.0,0.0,0.1571988647182782,0.1571988647182782,0.0,0.0,0.26921009719371797,0.26921009719371797,497.2080197652181,433.33752110799156,168.37556635538738,187.01973342895508,18.644161224365234,0.0,0.0
